edge_id,anchor_char,derived_char,added_component,anchor_role,added_component_role,phonophore_root,recursive_depth,family_id_root,family_id_immediate,edge_structure_pattern,layout,edge_status,edge_confidence,edge_dispute_flag,source_reference,anchor_in_population,anchor_char_raw,phonophore_root_raw,added_component_raw,edge_structure_pattern_raw,anchor_char_normalized,added_component_normalized,edge_structure_pattern_normalized,normalization_applied,normalization_map_id,normalization_rule_category,normalization_confidence,normalization_notes,phonophore_root_normalized,normalization_collapse_group,normalization_collapse_flag,v3_change_type,v2_edge_id,audit_disposition,validation_source_1,validation_source_1_url,validation_source_1_claim,validation_source_2,validation_source_2_url,historical_phonology_support,modern_pronunciation_support,reviewer_notes,review_status,review_date
EDGE-00999,冒,瑁,王,phonophore_and_semantic,structural_remainder_presumed_semantic,冃,2,ROOT-5183,IMM-5192,⿰王冒,left-right,eligible_direct,medium,True,CJKVI ids-analysis: 冒亦聲,True,冒,冒,王,⿰王冒,冒,王,⿰王冒,False,,,not_applicable,No accepted mapping applied.,冃,COLLAPSE-00807,False,disputed,EDGE-00999,ambiguous_or_disputed,CJKVI ids-analysis explicit 聲/亦聲 annotation,https://github.com/cjkvi/cjkvi-ids,CJKVI ids-analysis: 冒亦聲,,,not independently revalidated in this audit,not used for retention,Retained as disputed sensitivity edge; not primary-confirmed.,retained_disputed,2026-09-07
EDGE-01022,骨,尳,尢,phonophore_and_semantic,structural_remainder_presumed_semantic,冎,2,ROOT-518E,IMM-9AA8,⿺尢骨,surround-lower-left,eligible_direct,medium,True,CJKVI ids-analysis: 骨亦聲,True,骨,骨,尢,⿺尢骨,骨,尢,⿺尢骨,False,,,not_applicable,No accepted mapping applied.,冎,COLLAPSE-05912,False,disputed,EDGE-01022,ambiguous_or_disputed,CJKVI ids-analysis explicit 聲/亦聲 annotation,https://github.com/cjkvi/cjkvi-ids,CJKVI ids-analysis: 骨亦聲,,,not independently revalidated in this audit,not used for retention,Retained as disputed sensitivity edge; not primary-confirmed.,retained_disputed,2026-09-07
EDGE-01051,冖,鼏,鼎,phonophore_and_semantic,structural_remainder_presumed_semantic,冖,1,ROOT-5196,IMM-5196,⿱冖鼎,top-bottom,missing_anchor_from_frozen_population,medium,True,CJKVI ids-analysis: 冖亦聲,False,冖,冖,鼎,⿱冖鼎,冖,鼎,⿱冖鼎,False,,,not_applicable,No accepted mapping applied.,冖,COLLAPSE-00820,False,disputed,EDGE-01051,ambiguous_or_disputed,CJKVI ids-analysis explicit 聲/亦聲 annotation,https://github.com/cjkvi/cjkvi-ids,CJKVI ids-analysis: 冖亦聲,,,not independently revalidated in this audit,not used for retention,Retained as disputed sensitivity edge; not primary-confirmed.,retained_disputed,2026-09-07
EDGE-01070,冥,螟,虫,phonophore_and_semantic,structural_remainder_presumed_semantic,冥,1,ROOT-51A5,IMM-51A5,⿰虫冥,left-right,eligible_direct,medium,True,CJKVI ids-analysis: 冥亦聲,True,冥,冥,虫,⿰虫冥,冥,虫,⿰虫冥,False,,,not_applicable,No accepted mapping applied.,冥,COLLAPSE-00841,False,disputed,EDGE-01070,ambiguous_or_disputed,CJKVI ids-analysis explicit 聲/亦聲 annotation,https://github.com/cjkvi/cjkvi-ids,CJKVI ids-analysis: 冥亦聲,,,not independently revalidated in this audit,not used for retention,Retained as disputed sensitivity edge; not primary-confirmed.,retained_disputed,2026-09-07
EDGE-01077,几,鳧,鳥,phonophore_and_semantic,structural_remainder_presumed_semantic,几,1,ROOT-51E0,IMM-51E0,⿱鳥几,top-bottom,eligible_direct,medium,True,CJKVI ids-analysis: 几亦聲,True,几,几,鳥,⿱鳥几,几,鳥,⿱鳥几,False,,,not_applicable,No accepted mapping applied.,几,COLLAPSE-00855,False,disputed,EDGE-01077,ambiguous_or_disputed,CJKVI ids-analysis explicit 聲/亦聲 annotation,https://github.com/cjkvi/cjkvi-ids,CJKVI ids-analysis: 几亦聲,,,not independently revalidated in this audit,not used for retention,Retained as disputed sensitivity edge; not primary-confirmed.,retained_disputed,2026-09-07
EDGE-01144,召,詔,言,phonophore_and_semantic,structural_remainder_presumed_semantic,刀,2,ROOT-5200,IMM-53EC,⿰言召,left-right,eligible_direct,medium,True,CJKVI ids-analysis: 召亦聲,True,召,刀,言,⿰言召,召,言,⿰言召,False,,,not_applicable,No accepted mapping applied.,刀,COLLAPSE-01435,False,disputed,EDGE-01144,ambiguous_or_disputed,CJKVI ids-analysis explicit 聲/亦聲 annotation,https://github.com/cjkvi/cjkvi-ids,CJKVI ids-analysis: 召亦聲,,,not independently revalidated in this audit,not used for retention,Retained as disputed sensitivity edge; not primary-confirmed.,retained_disputed,2026-09-07
EDGE-01186,分,貧,貝,phonophore_and_semantic,structural_remainder_presumed_semantic,分,1,ROOT-5206,IMM-5206,⿱分貝,top-bottom,eligible_direct,medium,True,CJKVI ids-analysis: 分亦聲,True,分,分,貝,⿱分貝,分,貝,⿱分貝,False,,,not_applicable,No accepted mapping applied.,分,COLLAPSE-00907,False,disputed,EDGE-01186,ambiguous_or_disputed,CJKVI ids-analysis explicit 聲/亦聲 annotation,https://github.com/cjkvi/cjkvi-ids,CJKVI ids-analysis: 分亦聲,,,not independently revalidated in this audit,not used for retention,Retained as disputed sensitivity edge; not primary-confirmed.,retained_disputed,2026-09-07
EDGE-01267,句,拘,扌,phonophore_and_semantic,structural_remainder_presumed_semantic,勹,2,ROOT-52F9,IMM-53E5,⿰扌句,left-right,eligible_direct,medium,True,CJKVI ids-analysis: 句亦聲,True,句,句,扌,⿰扌句,句,扌,⿰扌句,False,,,not_applicable,No accepted mapping applied.,勹,COLLAPSE-01399,False,disputed,EDGE-01267,ambiguous_or_disputed,CJKVI ids-analysis explicit 聲/亦聲 annotation,https://github.com/cjkvi/cjkvi-ids,CJKVI ids-analysis: 句亦聲,,,not independently revalidated in this audit,not used for retention,Retained as disputed sensitivity edge; not primary-confirmed.,retained_disputed,2026-09-07
EDGE-01276,句,笱,竹,phonophore_and_semantic,structural_remainder_presumed_semantic,勹,2,ROOT-52F9,IMM-53E5,⿱竹句,top-bottom,eligible_direct,medium,True,CJKVI ids-analysis: 句亦聲,True,句,句,竹,⿱竹句,句,竹,⿱竹句,False,,,not_applicable,No accepted mapping applied.,勹,COLLAPSE-01407,False,disputed,EDGE-01276,ambiguous_or_disputed,CJKVI ids-analysis explicit 聲/亦聲 annotation,https://github.com/cjkvi/cjkvi-ids,CJKVI ids-analysis: 句亦聲,,,not independently revalidated in this audit,not used for retention,Retained as disputed sensitivity edge; not primary-confirmed.,retained_disputed,2026-09-07
EDGE-01283,句,鉤,釒,phonophore_and_semantic,structural_remainder_presumed_semantic,勹,2,ROOT-52F9,IMM-53E5,⿰釒句,left-right,eligible_direct,medium,True,CJKVI ids-analysis: 句亦聲,True,句,句,釒,⿰釒句,句,釒,⿰釒句,False,,,not_applicable,No accepted mapping applied.,勹,COLLAPSE-01414,False,disputed,EDGE-01283,ambiguous_or_disputed,CJKVI ids-analysis explicit 聲/亦聲 annotation,https://github.com/cjkvi/cjkvi-ids,CJKVI ids-analysis: 句亦聲,,,not independently revalidated in this audit,not used for retention,Retained as disputed sensitivity edge; not primary-confirmed.,retained_disputed,2026-09-07
EDGE-01284,句,雊,隹,phonophore_and_semantic,structural_remainder_presumed_semantic,勹,2,ROOT-52F9,IMM-53E5,⿰句隹,left-right,eligible_direct,medium,True,CJKVI ids-analysis: 句亦聲,True,句,句,隹,⿰句隹,句,隹,⿰句隹,False,,,not_applicable,No accepted mapping applied.,勹,COLLAPSE-01415,False,disputed,EDGE-01284,ambiguous_or_disputed,CJKVI ids-analysis explicit 聲/亦聲 annotation,https://github.com/cjkvi/cjkvi-ids,CJKVI ids-analysis: 句亦聲,,,not independently revalidated in this audit,not used for retention,Retained as disputed sensitivity edge; not primary-confirmed.,retained_disputed,2026-09-07
EDGE-01347,匕,化,亻,phonophore_and_semantic,structural_remainder_presumed_semantic,匕,1,ROOT-5315,IMM-5315,⿰亻匕,left-right,eligible_direct,medium,True,CJKVI ids-analysis: 匕亦聲,True,匕,匕,亻,⿰亻匕,匕,亻,⿰亻匕,False,,,not_applicable,No accepted mapping applied.,匕,COLLAPSE-01040,False,disputed,EDGE-01347,ambiguous_or_disputed,CJKVI ids-analysis explicit 聲/亦聲 annotation,https://github.com/cjkvi/cjkvi-ids,CJKVI ids-analysis: 匕亦聲,,,not independently revalidated in this audit,not used for retention,Retained as disputed sensitivity edge; not primary-confirmed.,retained_disputed,2026-09-07
EDGE-01371,泥,屔,丠,phonophore_and_semantic,structural_remainder_presumed_semantic,匕,3,ROOT-5315,IMM-6CE5,⿰丠泥,left-right,eligible_direct,medium,True,CJKVI ids-analysis: 泥亦聲,True,泥,匕,丠,⿰丠泥,泥,丠,⿰丠泥,False,,,not_applicable,No accepted mapping applied.,匕,COLLAPSE-03954,False,disputed,EDGE-01371,ambiguous_or_disputed,CJKVI ids-analysis explicit 聲/亦聲 annotation,https://github.com/cjkvi/cjkvi-ids,CJKVI ids-analysis: 泥亦聲,,,not independently revalidated in this audit,not used for retention,Retained as disputed sensitivity edge; not primary-confirmed.,retained_disputed,2026-09-07
EDGE-01396,頃,傾,亻,phonophore_and_semantic,structural_remainder_presumed_semantic,匕,2,ROOT-5315,IMM-9803,⿰亻頃,left-right,eligible_direct,medium,True,CJKVI ids-analysis: 頃亦聲,True,頃,匕,亻,⿰亻頃,頃,亻,⿰亻頃,False,,,not_applicable,No accepted mapping applied.,匕,COLLAPSE-05882,False,disputed,EDGE-01396,ambiguous_or_disputed,CJKVI ids-analysis explicit 聲/亦聲 annotation,https://github.com/cjkvi/cjkvi-ids,CJKVI ids-analysis: 頃亦聲,,,not independently revalidated in this audit,not used for retention,Retained as disputed sensitivity edge; not primary-confirmed.,retained_disputed,2026-09-07
EDGE-01456,半,泮,氵,phonophore_and_semantic,structural_remainder_presumed_semantic,半,1,ROOT-534A,IMM-534A,⿰氵半,left-right,eligible_direct,medium,True,CJKVI ids-analysis: 半亦聲,True,半,半,氵,⿰氵半,半,氵,⿰氵半,False,,,not_applicable,No accepted mapping applied.,半,COLLAPSE-01113,False,disputed,EDGE-01456,ambiguous_or_disputed,CJKVI ids-analysis explicit 聲/亦聲 annotation,https://github.com/cjkvi/cjkvi-ids,CJKVI ids-analysis: 半亦聲,,,not independently revalidated in this audit,not used for retention,Retained as disputed sensitivity edge; not primary-confirmed.,retained_disputed,2026-09-07
EDGE-01459,半,胖,肉,phonophore_and_semantic,structural_remainder_presumed_semantic,半,1,ROOT-534A,IMM-534A,⿰肉半,left-right,eligible_direct,medium,True,CJKVI ids-analysis: 半亦聲,True,半,半,肉,⿰肉半,半,肉,⿰肉半,False,,,not_applicable,No accepted mapping applied.,半,COLLAPSE-01116,False,disputed,EDGE-01459,ambiguous_or_disputed,CJKVI ids-analysis explicit 聲/亦聲 annotation,https://github.com/cjkvi/cjkvi-ids,CJKVI ids-analysis: 半亦聲,,,not independently revalidated in this audit,not used for retention,Retained as disputed sensitivity edge; not primary-confirmed.,retained_disputed,2026-09-07
EDGE-01463,卑,婢,女,phonophore_and_semantic,structural_remainder_presumed_semantic,卑,1,ROOT-5351,IMM-5351,⿰女卑,left-right,eligible_direct,medium,True,CJKVI ids-analysis: 卑亦聲,True,卑,卑,女,⿰女卑,卑,女,⿰女卑,False,,,not_applicable,No accepted mapping applied.,卑,COLLAPSE-01120,False,disputed,EDGE-01463,ambiguous_or_disputed,CJKVI ids-analysis explicit 聲/亦聲 annotation,https://github.com/cjkvi/cjkvi-ids,CJKVI ids-analysis: 卑亦聲,,,not independently revalidated in this audit,not used for retention,Retained as disputed sensitivity edge; not primary-confirmed.,retained_disputed,2026-09-07
EDGE-01616,厽,絫,糸,phonophore_and_semantic,structural_remainder_presumed_semantic,厽,1,ROOT-53BD,IMM-53BD,⿱厽糸,top-bottom,missing_anchor_from_frozen_population,medium,True,CJKVI ids-analysis: 厽亦聲,False,厽,厽,糸,⿱厽糸,厽,糸,⿱厽糸,False,,,not_applicable,No accepted mapping applied.,厽,COLLAPSE-01279,False,disputed,EDGE-01616,ambiguous_or_disputed,CJKVI ids-analysis explicit 聲/亦聲 annotation,https://github.com/cjkvi/cjkvi-ids,CJKVI ids-analysis: 厽亦聲,,,not independently revalidated in this audit,not used for retention,Retained as disputed sensitivity edge; not primary-confirmed.,retained_disputed,2026-09-07
EDGE-01623,就,僦,亻,phonophore_and_semantic,structural_remainder_presumed_semantic,又,3,ROOT-53C8,IMM-5C31,⿰亻就,left-right,eligible_direct,medium,True,CJKVI ids-analysis: 就亦聲,True,就,又,亻,⿰亻就,就,亻,⿰亻就,False,,,not_applicable,No accepted mapping applied.,又,COLLAPSE-02526,False,disputed,EDGE-01623,ambiguous_or_disputed,CJKVI ids-analysis explicit 聲/亦聲 annotation,https://github.com/cjkvi/cjkvi-ids,CJKVI ids-analysis: 就亦聲,,,not independently revalidated in this audit,not used for retention,Retained as disputed sensitivity edge; not primary-confirmed.,retained_disputed,2026-09-07
EDGE-01624,就,噈,口,phonophore_and_semantic,structural_remainder_presumed_semantic,又,3,ROOT-53C8,IMM-5C31,⿰口就,left-right,eligible_direct,medium,True,CJKVI ids-analysis: 就亦聲,True,就,又,口,⿰口就,就,口,⿰口就,False,,,not_applicable,No accepted mapping applied.,又,COLLAPSE-02527,False,disputed,EDGE-01624,ambiguous_or_disputed,CJKVI ids-analysis explicit 聲/亦聲 annotation,https://github.com/cjkvi/cjkvi-ids,CJKVI ids-analysis: 就亦聲,,,not independently revalidated in this audit,not used for retention,Retained as disputed sensitivity edge; not primary-confirmed.,retained_disputed,2026-09-07
EDGE-01656,及,汲,氵,phonophore_and_semantic,structural_remainder_presumed_semantic,及,1,ROOT-53CA,IMM-53CA,⿰氵及,left-right,eligible_direct,medium,True,CJKVI ids-analysis: 及亦聲,True,及,及,氵,⿰氵及,及,氵,⿰氵及,False,,,not_applicable,No accepted mapping applied.,及,COLLAPSE-01300,False,disputed,EDGE-01656,ambiguous_or_disputed,CJKVI ids-analysis explicit 聲/亦聲 annotation,https://github.com/cjkvi/cjkvi-ids,CJKVI ids-analysis: 及亦聲,,,not independently revalidated in this audit,not used for retention,Retained as disputed sensitivity edge; not primary-confirmed.,retained_disputed,2026-09-07
EDGE-01663,及,馺,馬,phonophore_and_semantic,structural_remainder_presumed_semantic,及,1,ROOT-53CA,IMM-53CA,⿰馬及,left-right,eligible_direct,medium,True,CJKVI ids-analysis: 及亦聲,True,及,及,馬,⿰馬及,及,馬,⿰馬及,False,,,not_applicable,No accepted mapping applied.,及,COLLAPSE-01307,False,disputed,EDGE-01663,ambiguous_or_disputed,CJKVI ids-analysis explicit 聲/亦聲 annotation,https://github.com/cjkvi/cjkvi-ids,CJKVI ids-analysis: 及亦聲,,,not independently revalidated in this audit,not used for retention,Retained as disputed sensitivity edge; not primary-confirmed.,retained_disputed,2026-09-07
